"id","word","syllables"
"1","'cause",1
"2","'tis",1
"3","'twas",1
"4","a",1
"5","aa",2
"6","aah",1
"7","aahed",1
"8","aahing",2
"9","aahs",1
"10","aal",1
"11","aalii",3
"12","aaliis",3
"13","aals",1
"14","aamir",2
"15","aardvark",2
"16","aardvarks",2
"17","aardwolf",2
"18","aardwolves",2
"19","aaron",2
"20","aas",1
"21","aasvogel",3
"22","aasvogels",3
"23","aba",2
"24","abaca",3
"25","abacas",3
"26","abaci",3
"27","aback",2
"28","abacus",3
"29","abacuses",4
"30","abaft",2
"31","abagael",3
"32","abagail",3
"33","abaka",3
"34","abakas",3
"35","abalone",4
"36","abalones",4
"37","abamp",2
"38","abampere",3
"39","abamperes",3
"40","abamps",2
"41","abandon",3
"42","abandoned",3
"43","abandoning",4
"44","abandonment",4
"45","abandonments",4
"46","abandons",3
"47","abas",2
"48","abase",2
"49","abased",2
"50","abasedly",4
"51","abasement",3
"52","abasements",3
"53","abaser",3
"54","abasers",3
"55","abases",3
"56","abash",2
"57","abashed",2
"58","abashes",3
"59","abashing",3
"60","abasing",3
"61","abatable",4
"62","abate",2
"63","abated",3
"64","abatement",3
"65","abatements",3
"66","abater",3
"67","abaters",3
"68","abates",2
"69","abating",3
"70","abatis",3
"71","abatises",4
"72","abator",3
"73","abators",3
"74","abattis",3
"75","abattises",4
"76","abattoir",3
"77","abattoirs",3
"78","abaxial",4
"79","abaxile",3
"80","abbacies",3
"81","abbacy",3
"82","abbatial",3
"83","abbe",2
"84","abbes",2
"85","abbess",2
"86","abbesses",3
"87","abbey",2
"88","abbeys",2
"89","abbi",2
"90","abbie",2
"91","abbot",2
"92","abbotcies",3
"93","abbotcy",3
"94","abbots",2
"95","abbott",2
"96","abbreviate",4
"97","abbreviated",5
"98","abbreviates",4
"99","abbreviating",5
"100","abbreviation",5
"101","abbreviations",5
"102","abby",2
"103","abc",3
"104","abdel",2
"105","abdicate",3
"106","abdicated",4
"107","abdicates",3
"108","abdicating",4
"109","abdication",4
"110","abdications",4
"111","abdomen",3
"112","abdomens",3
"113","abdomina",4
"114","abdominal",4
